text,categoryNumber,categoryMeaning,firstLevel,secondLevel
"It Wasn't Gas I Passed. The smell was in comparison to rotten eggs and the reason it is so memorable is because the source of the smell was coming from my mouth. I was in a small room full of people who assumed someone had released gas and was too embarrassed to fess up to the real source. Needless to say I called my mom to come and get me, and left as quickly as I could. I am sure they figured out the source once I was gone and it no longer smelled like that there.",cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
"The Foul Litter box. Whenever I walked into my brother's apartment the smell hit me immediately. The entire living room was filled with the smell of urine and feces, and to a lesser extent the whole apartment. This smell emanated from the gigantic red litter pan sitting right beside the entranceway. Unfortunately, my brother's roommate had four adorable cats, but could never keep their litter pan clean. The smell deadened my senses and made me feel a bit dizzy. The urine was strong, and smelled like a noxious mix of chemicals. I smiled and tried not to gag. The cats were cute, but the stink was certainly not. I didn't mention it to him until later, because I knew that it was not his fault. I helped him drag in his belongings and tried to breathe through my mouth and not inhale. Eventually I had to, and I left the room in order to keep from retching. I still like cats, but I vow never to let my own cats' litter pan stink so terribly.",cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
"I Can't Smell You. I, just tonight, had a coworker fart in my office before he left. After he left he came to my window and made a sniffing gesture as to ask if I smelled it yet. I acted like I didn't to keep him from having any satisfaction, but inside I was actually becoming quiet nauseated. I played it cool until he was gone and then I quickly ran for a bottle of air freshener. I sprayed the whole room down. The smell of his gas was the worse thing I have smelled in a long time; it really did just about make me puke.",cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
Dragon Breath Teacher. Once a teacher yelled at me during class. She got so close up into my face that I could smell her bad breath. This made the experience much worse because I wanted to get up and walk away but she was grabbing me to keep me focused on her while she was talking.,cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
The day I took a plunge. I was playing in a field with my friends when I tripped over a bush and fell into a pile of feces chest first. Instantly I could smell the pungent odor that escaped from it once I smashed it. It was smeared all over my chest and I was extremely embarrassed. I smelled terrible and the hot sun was only making me smell worse. This memory is still ingrained in my mind because of how humiliating it was.,cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
"Eau d'Homeless (aka Why I Should Carry Febreze Around Everywher. I was riding the bus to work on what seemed like an ordinary, typical bus ride. I live in an urban area with a fair number of ragged looking homeless people that wander the streets night and day. At the next bus stop, a number of people got on and all of a sudden, I saw this really dirty looking homeless individual start walking down the aisle. You could smell the alcohol, the cigarettes, and the unmistakable musk of body odor wafting down the aisle several steps ahead of his physical presence. I was hoping and praying that he would not sit next to me, but he ended up plopping down right next to me for the rest of the bus ride. I wanted to gag and really felt like throwing up - the smell was that bad and no open window and fresh breeze could rectify such a stink. I decided to get off at the next stop and wait for the next bus, even though that would possibly make me a little late for work.",cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
Stinky Pits. My daughter came into my room and flopped down next to me. She raised her arms and she didn't have deodorant on. Her arm pits stunk so bad. We laughed and I told her to put on some deodorant.,cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
too much. I put on too much cologne when I was a kid.  It smelled strong for a long time and people noticed.,cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
People. I attended a seminar in which I had to work in teams consisting of people from different nations.  I cannot forget the smell of the representatives from two countries in Asia.  It seemed like they haven't changed their clothes for several days. It made me want to puke but I have to behave professionally.,cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
"Accidental compliments. I washed my clothes with Tide Sport and it has a very strong scent. I didn't know how much to use with my clothes so I used too much and they smelled really strongly of that smell, but I liked the smell alot because it smelled good to me, but to everyone else it was very strong. So I walked about campus alot and people would give me compliments on how good I smelled. Its memorable because I make stupid mistakes like that all the time and it was nice to not have negative consequences.",cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
Positive licorice scent. I found out I like licorice flavor so i bought some anise oil to use for scenting. I used it as a body deodorant and someone remarked how they liked the smell that i had. Now i have positive feelings about any licorice scented objects,cat8, Social interaction is affected by the smell,affecting,affected the social interaction/togetherness
"Meat Fail. I walked into a meatshop, and the smell was pungent. It literally made me sick, and was such an overbearing scent that I became vegetarian.",cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
B&C Incense. This was the last day of filming on the project.  We were in a large sound stage working with green screen.  I walked over to the video monitors to check something out and could smell the incense burning.  The musty odor always makes me sneeze so I walked away quickly.  After a while the scent started to overtake the table I was working out and the sneezing started.  I asked around to try to find out where it was coming from and why someone decided to burn it.  I had to leave my position for the rest of the day because I could not stop sneezing and it was affecting the filming.  I was devastated that I could not finish my job.,cat9," Smell changes mood, attitude and behavior",changing,made me change my behaviour
