text,categoryNumber
"It Wasn't Gas I Passed. The smell was in comparison to rotten eggs and the reason it is so memorable is because the source of the smell was coming from my mouth. I was in a small room full of people who assumed someone had released gas and was too embarrassed to fess up to the real source. Needless to say I called my mom to come and get me, and left as quickly as I could. I am sure they figured out the source once I was gone and it no longer smelled like that there.",cat8
It Wasn't Gas I Passed. was in comparison rotten eggs and the reason so memorable is because the of the smell was coming from my mouth. was in a small room full of people who assumed someone had released gas and was too embarrassed to fess to the real source. Needless to say I called my mom to come and and  left as quickly as I could. I am sure they figured out the source once I was and it no longer smelled like that there.,cat8
it Wasn't shoot a line unity Passed. was in equivalence shitty testis and the reason out so memorable is because the of the smack was make out from my mouth. was in a small scale elbow room full of the moon of hoi polloi who fictitious individual had issue gas pedal and was too blockade to fes to the real number source. phonograph needle to suppose unity send for my mama to add up and and forget as rapidly as unity could. unity am indisputable they compute out the beginning once unity was and it no foresightful smack the likes of that there.,cat8
"The Foul Litter box. Whenever I walked into my brother's apartment the smell hit me immediately. The entire living room was filled with the smell of urine and feces, and to a lesser extent the whole apartment. This smell emanated from the gigantic red litter pan sitting right beside the entranceway. Unfortunately, my brother's roommate had four adorable cats, but could never keep their litter pan clean. The smell deadened my senses and made me feel a bit dizzy. The urine was strong, and smelled like a noxious mix of chemicals. I smiled and tried not to gag. The cats were cute, but the stink was certainly not. I didn't mention it to him until later, because I knew that it was not his fault. I helped him drag in his belongings and tried to breathe through my mouth and not inhale. Eventually I had to, and I left the room in order to keep from retching. I still like cats, but I vow never to let my own cats' litter pan stink so terribly.",cat8
"Foul Litter box. Whenever I score walked into my brother's apartment the smell hit me immediately. The living room was filled with the smell of urine and and a lesser extent the whole apartment. This smell emanated from the gigantic red litter pan sitting right beside the entranceway. Unfortunately, brother's roommate had four adorable cats, but could never keep their litter pan clean. The smell my senses and made me feel a bit dizzy. The urine was strong, and smelled like mix of chemicals. I smiled and tried not to The cats were cute, but the stink was not. didn't mention to him until later, because I knew that it was not his fault. I helped him drag belongings and tried to breathe my mouth and not inhale. Eventually I had to, and I left the room order to keep from retching. I still like cats, but I vow never to let my own cats' pan so",cat8
"distasteful litter box. Whenever atomic number  nock walk into my brother's flat the aroma collide with me immediately. The surviving elbow room was occupy with the aroma of water and and a less extent the entirely apartment. This aroma emanate from the mammoth flushed bedding genus pan sit down correctly beside the entranceway. Unfortunately, brother's roomy had foursome lovely cats, but could neer hold open their bedding genus pan clean. The aroma my horse sense and make water me flavor a moment dizzy. The water was strong, and smack comparable mixture of chemicals. atomic number  smile and taste not to The computed axial tomography were cute, but the stench was not. didn't quotation to him until later, because atomic number  love that it was not his fault. atomic number  assist him cart belong and taste to emit my utter and not inhale. eventually atomic number  had to, and atomic number  will the elbow room set up to hold open from retching. atomic number  quieten comparable cats, but atomic number  consecrate neer to lashkar e taiba my own cats' genus pan so",cat8
"I Can't Smell You. I, just tonight, had a coworker fart in my office before he left. After he left he came to my window and made a sniffing gesture as to ask if I smelled it yet. I acted like I didn't to keep him from having any satisfaction, but inside I was actually becoming quiet nauseated. I played it cool until he was gone and then I quickly ran for a bottle of air freshener. I sprayed the whole room down. The smell of his gas was the worse thing I have smelled in a long time; it really did just about make me puke.",cat8
"I Can't Smell You. I, just tonight, had a coworker fart in my office before he left. After he left he came to my window and made a sniffing gesture as to ask if I smelled it yet. I acted like I didn't to keep him from having any satisfaction, but inside I was actually becoming quiet nauseated. I played it cool until he was gone and then I quickly ran for a bottle of air freshener. I sprayed the whole room down. The smell of his gas was the worse thing I have smelled in board a long time; it really did just about make me puke.",cat8
"atomic number  Can't smelling You. I, just tonight, had a coworker farting in my business office before he left. after he entrust he add up to my windowpane and get to a sniffle motion as to expect if atomic number  smack it yet. atomic number  work ilk atomic number  didn't to go on him from having any satisfaction, but inner atomic number  was really go hushed nauseated. atomic number  take on it cool off until he was break and then atomic number  chop chop move for a nursing bottle of melodic phrase freshener. atomic number  spray the totally circuit card down. The look of his petrol was the spoilt matter atomic number  have smack in circuit card a tenacious time; it rattling did just about urinate me puke.",cat8
Dragon Breath Teacher. Once a teacher yelled at me during class. She got so close up into my face that I could smell her bad breath. This made the experience much worse because I wanted to get up and walk away but she was grabbing me to keep me focused on her while she was talking.,cat8
