text,categoryNumber
"It Wasn't Gas I Passed. The smell was in comparison to rotten eggs and the reason it is so memorable is because the source of the smell was coming from my mouth. I was in a small room full of people who assumed someone had released gas and was too embarrassed to fess up to the real source. Needless to say I called my mom to come and get me, and left as quickly as I could. I am sure they figured out the source once I was gone and it no longer smelled like that there.",cat8
It Wasn't Gas I Passed. was in comparison rotten eggs and the reason so memorable is because the of the smell was coming from my mouth. was in a small room full of people who assumed someone had released gas and was too embarrassed to fess to the real source. Needless to say I called my mom to come and and  left as quickly as I could. I am sure they figured out the source once I was and it no longer smelled like that there.,cat8
information technology Wasn't vaunt single Passed. was in comparability crappy testis and the cause so memorable is because the of the flavour was orgasm from my mouth. was in a lowly board broad of citizenry who arrogate mortal had bring out gaseous state and was too humiliated to fes to the genuine source. uncalled for to enounce single holler my mama to total and and will as apace as single could. single am indisputable they fancy out the origin once single was and it no prospicient reek the like that there.,cat8
"information technology has not been passed. was in a comparable swelling of the testicles and the memorable cause was because that taste was the orgasm from my mouth. in a low class of citizens, those who are arrogant have developed a temperament and are too humiliated to not believe in the true origin. was not called upon to emit my mom's sole whimper and and would be as serious as possible. celibacy cannot deny that they like to trace their roots when they are single and that it cannot afford to look for such things there.",cat8
"The Foul Litter box. Whenever I walked into my brother's apartment the smell hit me immediately. The entire living room was filled with the smell of urine and feces, and to a lesser extent the whole apartment. This smell emanated from the gigantic red litter pan sitting right beside the entranceway. Unfortunately, my brother's roommate had four adorable cats, but could never keep their litter pan clean. The smell deadened my senses and made me feel a bit dizzy. The urine was strong, and smelled like a noxious mix of chemicals. I smiled and tried not to gag. The cats were cute, but the stink was certainly not. I didn't mention it to him until later, because I knew that it was not his fault. I helped him drag in his belongings and tried to breathe through my mouth and not inhale. Eventually I had to, and I left the room in order to keep from retching. I still like cats, but I vow never to let my own cats' litter pan stink so terribly.",cat8
"Foul Litter box. Whenever I run into walked into my brother's apartment the smell hit me immediately. The living room was filled with the smell of urine and and a lesser extent the whole apartment. This smell emanated from the gigantic red litter pan sitting right beside the entranceway. Unfortunately, brother's roommate had four adorable cats, but could never keep their litter pan clean. The smell my senses and made me feel a bit dizzy. The urine was strong, and smelled like mix of chemicals. I smiled and tried not to The cats were cute, but the stink was not. didn't mention to him until later, because I knew that it was not his fault. I helped him drag belongings and tried to breathe my mouth and not inhale. Eventually I had to, and I left the room order to keep from retching. I still like cats, but I vow never to let my own cats' pan so",cat8
"distasteful litter box. Whenever i incline into take the air into my brother's flat the olfactory sensation run into me immediately. The hold out way was replete with the olfactory sensation of water and and a less extent the completely apartment. This olfactory sensation give forth from the mammoth cherry red bedding genus pan sit down powerful beside the entranceway. Unfortunately, brother's roomie had quadruplet endearing cats, but could neer go on their bedding genus pan clean. The olfactory sensation my sentiency and spend a penny me look a burn dizzy. The water was strong, and reek the likes of immix of chemicals. i smile and strain not to The african tea were cute, but the malodour was not. didn't bring up to him until later, because i get laid that it was not his fault. i avail him drop back holding and strain to take a breath my backtalk and not inhale. finally i had to, and i depart the way grade to go on from retching. i notwithstanding the likes of cats, but i consecrate neer to countenance my own cats' genus pan so",cat8
"nasty trash box. whenever i leaned in to get air into my brother's apartment, olfactory sensations ran into me in an instant. the way of holding was filled with the olfactory sensation of water and to a lesser extent, utterly flat. this olfactory sensation emanates from the mammoth's cherry red bedspread pan seated vigorously beside the entrance. unfortunately, the brother's roommate has cherished cats who love to live in private, but will they be able to clean their bedding. the sense of my sentimentality and a penny spent it dazed me. the water is very strong and smells like a mixture of chemicals. i smile and nervously is not cute african tea, but malodour is not. did not mention him until later, because i realized it was not his fault. i used him to release his hold and tension to take a breath of my backtalk and not inhale. i had to finally do it, and i left the classroom to continue practicing. even though i love cats, i dedicate myself to maintaining my own cat-like pan for that",cat8
"I Can't Smell You. I, just tonight, had a coworker fart in my office before he left. After he left he came to my window and made a sniffing gesture as to ask if I smelled it yet. I acted like I didn't to keep him from having any satisfaction, but inside I was actually becoming quiet nauseated. I played it cool until he was gone and then I quickly ran for a bottle of air freshener. I sprayed the whole room down. The smell of his gas was the worse thing I have smelled in a long time; it really did just about make me puke.",cat8
"I Can't Smell You. I, just tonight, had coworker fart in office before he left. After left he came to my window and made a sniffing gesture as to ask if I smelled it yet. I acted I didn't to keep him from having any satisfaction, but inside I was actually becoming quiet nauseated. I played it cool he gone and then I ran for a bottle of air freshener. I sprayed the whole room down. The smell of  his gas was the worse thing I have smelled in a long time; it really did just about make me puke.",cat8
